hosp,cases,lineDays,sir,ciLow,ciHigh,area
"LAC/HARBOR-UCLA MED CTR, TORRANCE",0,162,0.00,0.00,18.49,pediatric step-down care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",0,230,0.00,0.00,13.02,pediatric step-down care
"UCSF MED CTR, SAN FRANCISCO",,,,,,pediatric step-down care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,pediatric step-down care
STATE OF CALIFORNIA POOLED DATA,361,424342,0.85,,,general medical care
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",1,2649,0.38,0.01,2.10,general medical care
ALAMEDA HOSP,0,138,0.00,0.00,21.71,general medical care
ALHAMBRA HOSP MED CTR,0,679,0.00,0.00,4.41,general medical care
"ALVARADO HOSP, LLC",2,1615,1.24,0.15,4.47,general medical care
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",,,,,,general medical care
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",,,,,,general medical care
"ARROWHEAD RGN MED CTR, COLTON",14,3916,3.58,1.95,6.00,general medical care
BAKERSFIELD HEART HOSP,0,2684,0.00,0.00,1.12,general medical care
BAKERSFIELD MEMORIAL HOSP,5,5202,0.96,0.31,2.24,general medical care
"BROTMAN MED CTR, CULVER CITY",1,1399,0.71,0.02,3.98,general medical care
"CALIFORNIA HOSP MED CTR, LOS ANGELES",4,1114,3.59,0.98,9.19,general medical care
"CALIFORNIA MED FACILITY, VACAVILLE",0,382,0.00,0.00,7.84,general medical care
"CEDARS-SINAI MED CTR, LOS ANGELES",10,16374,0.61,0.29,1.12,general medical care
"CENTINELA HOSP MED CTR, INGLEWOOD",2,3040,0.66,0.08,2.38,general medical care
"CHINO VALLEY MED CTR, CHINO",0,387,0.00,0.00,7.74,general medical care
"CITRUS VALLEY MED CTR, INC.",6,3737,1.61,0.59,3.49,general medical care
"CITRUS VALLEY MED CTR, IC , COVINA",,,,,,general medical care
"CITRUS VALLEY MED CTR, QV, WEST COVINA",,,,,,general medical care
CLOVIS COMMUNITY MED CTR,3,1540,1.95,0.40,5.69,general medical care
"COAST PLAZA HOSP, NORWALK",0,261,0.00,0.00,11.48,general medical care
COMMUNITY AND MISSION HOSP OF HUNTINGTON PARK,0,89,0.00,0.00,33.66,general medical care
"COMMUNITY HOSP OF THE MONTEREY PENINSULA, MONTEREY",2,5963,0.34,0.04,1.21,general medical care
COMMUNITY HOSP OF SAN BERNARDINO,1,1003,1.00,0.03,5.55,general medical care
"COMMUNITY REGIONAL MED CTR, FRESNO",6,5975,1.00,0.37,2.19,general medical care
"CONTRA COSTA REGIONAL MED CTR, MARTINEZ",0,1338,0.00,0.00,2.24,general medical care
COUNTY OF VENTURA,1,1484,0.67,0.02,3.75,general medical care
VENTURA COUNTY MED CTR,,,,,,general medical care
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,general medical care
"DESERT REGIONAL MED CTR, PALM SPRINGS",1,1361,0.73,0.02,4.09,general medical care
DIGNITY HEALTH,0,1605,0.00,0.00,1.87,general medical care
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,general medical care
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,general medical care
"DOCTORS MED CTR, MODESTO",8,9619,0.83,0.36,1.64,general medical care
"DOCTORS MED CTR, SAN PABLO",1,1162,0.86,0.02,4.79,general medical care
DOWNEY REGIONAL MED CTR,1,504,1.98,0.05,11.05,general medical care
"EAST VALLEY HOSP MED CTR, GLENDORA",0,57,0.00,0.00,52.56,general medical care
"EASTERN PLUMAS HEALTH CARE, PORTOLA",0,33,,,,general medical care
"EISENHOWER MED CTR, RANCHO MIRAGE",4,9123,0.44,0.12,1.12,general medical care
EL CAMINO HOSP,,,,,,general medical care
"EL CAMINO HOSP, MOUNTAIN VIEW",0,6636,0.00,0.00,0.45,general medical care
"EMANUEL MED CTR INC, TURLOCK",2,2532,0.79,0.10,2.85,general medical care
ENLOE MED CTR,0,6191,0.00,0.00,0.48,general medical care
"ENLOE MED CTR-COHASSET, CHICO",,,,,,general medical care
"ENLOE MED CTR-ESPLANADE, CHICO",,,,,,general medical care
"ENLOE REHABILITATION CTR, CHICO",,,,,,general medical care
"FAIRVIEW DEVELOPMENTAL CTR, COSTA MESA",0,7,,,,general medical care
"FEATHER RIVER HOSP, PARADISE",0,1009,0.00,0.00,2.97,general medical care
"FOOTHILL PRESBYTERIAN HSP-JOHNSTON MEMORIAL, GLENDORA",0,466,0.00,0.00,6.43,general medical care
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,2,6509,0.31,0.04,1.11,general medical care
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,general medical care
FREMONT-RIDEOUT HEALTH GROUP,0,785,0.00,0.00,3.82,general medical care
"FREMONT MED CTR, YUBA CITY",,,,,,general medical care
"RIDEOUT MEMORIAL HOSP, MARYSVILLE",,,,,,general medical care
"FRENCH HOSP MED CTR, SAN LUIS OBISPO",1,849,1.18,0.03,6.56,general medical care
FRESNO HEART AND SURGICAL HOSP,1,1427,0.70,0.02,3.90,general medical care
GARDEN GROVE HOSP AND MED CTR,1,531,1.88,0.05,10.49,general medical care
"GARFIELD MED CTR, MONTEREY PARK",0,861,0.00,0.00,3.48,general medical care
GLENDALE ADVENTIST MED CTR,7,7277,0.96,0.39,1.98,general medical care
GLENDALE MEMORIAL HOSP AND HEALTH CTR,0,2874,0.00,0.00,1.04,general medical care
"GOOD SAMARITAN HOSP, LOS ANGELES",2,3283,0.61,0.07,2.20,general medical care
"GOOD SAMARITAN HOSP, LP",2,3070,0.65,0.08,2.35,general medical care
"MISSION OAKS HOSP, LOS GATOS",,,,,,general medical care
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,general medical care
"GROSSMONT HOSP, LA MESA",4,6282,0.64,0.17,1.63,general medical care
HEMET VALLEY MED CTR,0,1040,0.00,0.00,2.88,general medical care
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",2,1180,1.69,0.21,6.12,general medical care
"HOAG HOSPITAL, IRVINE",,,,,,general medical care
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",,,,,,general medical care
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",1,1448,0.69,0.02,3.85,general medical care
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,1,1659,0.60,0.02,3.36,general medical care
"VALLEYCARE MEDICAL CENTER, PLEASANTON",,,,,,general medical care
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",,,,,,general medical care
HUNTINGTON BEACH HOSP,1,669,1.49,0.04,8.33,general medical care
"HUNTINGTON MEMORIAL HOSP, PASADENA",2,4524,0.44,0.05,1.60,general medical care
"JOHN C. FREMONT HEALTHCARE DISTRICT, MARIPOSA",1,40,,,,general medical care
"JOHN F. KENNEDY MEMORIAL HOSP, INDIO",2,2477,0.81,0.10,2.92,general medical care
"JOHN MUIR MED CTR, CONCORD",5,5015,1.00,0.32,2.33,general medical care
"JOHN MUIR MED CTR, WALNUT CREEK",2,5064,0.39,0.05,1.43,general medical care
"KAISER FOUNDATION HOSP, ANTIOCH",2,878,2.28,0.28,8.23,general medical care
"KAISER FOUNDATION HOSP, FRESNO",0,710,0.00,0.00,4.22,general medical care
"KAISER FOUNDATION HOSP, LOS ANGELES",5,5042,0.99,0.32,2.31,general medical care
"KAISER FOUNDATION HOSP, PANORAMA CITY",0,464,0.00,0.00,6.46,general medical care
"KAISER FOUNDATION HOSP, SAN DIEGO",7,3948,1.77,0.71,3.65,general medical care
"KAISER FOUNDATION HOSP, SAN FRANCISCO",0,158,0.00,0.00,18.96,general medical care
KAISER FOUNDATION HOSP-SAN JOSE,2,2810,0.71,0.09,2.57,general medical care
KAISER FOUNDATION HOSP-SANTA CLARA,3,2386,1.26,0.26,3.67,general medical care
"KAISER FOUNDATION HOSP SOUTH BAY, HARBOR CITY",1,859,1.16,0.03,6.49,general medical care
"KAISER FOUNDATION HOSP & REHAB. CTR, VALLEJO",1,2088,0.48,0.01,2.67,general medical care
"KAISER FOUNDATION HOSP-WEST LA, LOS ANGELES",2,3950,0.51,0.06,1.83,general medical care
"KAISER FOUNDATION HOSP, WOODLAND HILLS",4,2141,1.87,0.51,4.78,general medical care
KAISER FOUNDATION HOSPS,0,776,0.00,0.00,3.86,general medical care
KAISER FOUNDATION HOSP-ANAHEIM MEDICAL CENTER,,,,,,general medical care
KAISER FOUNDATION HOSP-LAKEVIEW MEDICAL CENTER,,,,,,general medical care
KAISER FOUNDATION HOSPS,,,,,,general medical care
"KAISER FOUNDATION HOSP, IRVINE",0,523,0.00,0.00,5.73,general medical care
"KAISER FOUNDATION HOSP, FONTANA",0,4815,0.00,0.00,0.62,general medical care
KAISER FOUNDATION HOSPS,1,1374,0.73,0.02,4.06,general medical care
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,general medical care
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,general medical care
"KAWEAH DELTA MED CTR, VISALIA",1,1488,0.67,0.02,3.74,general medical care
LA PALMA INTERCOMMUNITY HOSP,2,1197,1.67,0.20,6.04,general medical care
"LAC+USC MED CTR, LOS ANGELES",0,138,0.00,0.00,21.71,general medical care
"LAC/HARBOR-UCLA MED CTR, TORRANCE",2,2434,0.82,0.10,2.97,general medical care
"LAC/RANCHO LOS AMIGOS NATIONAL REHAB CTR, DOWNEY",0,233,0.00,0.00,12.86,general medical care
"LAGUNA HONDA HOSP & REHAB CTR, SAN FRANCISCO",1,242,4.13,0.10,23.02,general medical care
LAKEWOOD REGIONAL MED CTR,3,1694,1.77,0.37,5.18,general medical care
"LANTERMAN DEVELOPMENTAL CTR, POMONA",0,17,,,,general medical care
"LODI MEMORIAL HOSP ASSOCIATION, INC.",0,522,0.00,0.00,5.74,general medical care
LODI MEMORIAL HOSP 1RH,,,,,,general medical care
LODI MEMORIAL HOSP-WEST,,,,,,general medical care
LOMA LINDA UNIVERSITY MED CTR,18,5684,3.17,1.88,5.00,general medical care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,general medical care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,general medical care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,general medical care
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,0,1009,0.00,0.00,2.97,general medical care
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",2,7570,0.26,0.03,0.95,general medical care
LOS ALAMITOS MED CTR,3,2856,1.05,0.22,3.07,general medical care
"LOS ANGELES CO OLIVE VIEW-UCLA MED CTR, SYLMAR",0,1190,0.00,0.00,2.52,general medical care
LOS ROBLES REGIONAL MED CTR,4,2657,1.51,0.41,3.85,general medical care
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,general medical care
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,general medical care
THOUSAND OAKS SURGICAL HOSPITAL,,,,,,general medical care
MARIAN REGIONAL MEDICAL CENTER,,,,,,general medical care
MARIAN REGIONAL MEDICAL CENTER,0,68,0.00,0.00,44.05,general medical care
"MARIN GENERAL HOSP, GREENBRAE",0,1140,0.00,0.00,2.63,general medical care
MARINA DEL REY HOSP,3,739,4.06,0.84,11.86,general medical care
"MARSHALL MED CTR 1-RH, PLACERVILLE",0,1937,0.00,0.00,1.55,general medical care
MEMORIAL HOSP OF GARDENA,0,1547,0.00,0.00,1.94,general medical care
"MEMORIAL MED CTR, MODESTO",0,5243,0.00,0.00,0.57,general medical care
"MENIFEE VALLEY MED CTR, SUN CITY",1,632,1.58,0.04,8.82,general medical care
"MERCY GENERAL HOSP, SACRAMENTO",1,6712,0.15,0.00,0.83,general medical care
MERCY MED CTR MERCED,3,3146,0.95,0.20,2.79,general medical care
MERCY MED CTR REDDING,1,1889,0.53,0.01,2.95,general medical care
"MERCY SAN JUAN MED CTR, CARMICHAEL",5,6730,0.74,0.24,1.73,general medical care
METHODIST HOSP OF SACRAMENTO,0,2429,0.00,0.00,1.23,general medical care
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",5,2431,2.06,0.67,4.80,general medical care
MISSION HOSP REGIONAL MED CTR,,,,,,general medical care
"MISSION HOSP REGIONAL MED CTR, MISSION VIEJO",3,2743,1.09,0.23,3.20,general medical care
MONTEREY PARK HOSP,0,457,0.00,0.00,6.56,general medical care
NORTHRIDGE HOSP MED CTR,0,653,0.00,0.00,4.59,general medical care
"O'CONNOR HOSP, SAN JOSE",0,1512,0.00,0.00,1.98,general medical care
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",1,845,1.18,0.03,6.59,general medical care
OROVILLE HOSP,0,993,0.00,0.00,3.02,general medical care
PALOMAR HEALTH,2,2824,0.71,0.09,2.56,general medical care
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",,,,,,general medical care
"PALOMAR MED CTR, ESCONDIDO",,,,,,general medical care
PLACENTIA LINDA HOSP,0,662,0.00,0.00,4.53,general medical care
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",3,11229,0.27,0.06,0.78,general medical care
"PROVIDENCE HOLY CROSS MED CTR, MISSION HILLS",2,3202,0.62,0.08,2.26,general medical care
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",11,3206,3.43,1.71,6.14,general medical care
"PROVIDENCE TARZANA MED CTR, TARZANA",5,1812,2.76,0.90,6.44,general medical care
"QUEEN OF THE VALLEY MED CTR, NAPA",2,1447,1.38,0.17,4.99,general medical care
REDLANDS COMMUNITY HOSP,0,828,0.00,0.00,3.62,general medical care
RIVERSIDE COMMUNITY HOSP,3,5169,0.58,0.12,1.70,general medical care
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",5,2623,1.91,0.62,4.45,general medical care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",8,7420,1.08,0.47,2.12,general medical care
SADDLEBACK MEMORIAL MED CTR,3,1237,2.43,0.50,7.09,general medical care
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",,,,,,general medical care
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,,,,,,general medical care
"SAINT AGNES MED CTR, FRESNO",20,9936,2.01,1.23,3.11,general medical care
"SAINT FRANCIS MED CTR, LYNWOOD",0,712,0.00,0.00,4.21,general medical care
"SAINT LOUISE REGIONAL HOSP, GILROY",0,1090,0.00,0.00,2.75,general medical care
"SAINT VINCENT MED CTR, LOS ANGELES",3,1164,2.58,0.53,7.53,general medical care
SALINAS VALLEY MEMORIAL HOSP,1,1391,0.72,0.02,4.01,general medical care
"SAN ANTONIO COMMUNITY HOSP, UPLAND",1,3746,0.27,0.01,1.49,general medical care
"SAN GABRIEL VALLEY MED CTR, SAN GABRIEL",0,848,0.00,0.00,3.53,general medical care
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",6,4348,1.38,0.51,3.00,general medical care
SANTA BARBARA COTTAGE HOSPITAL,2,4454,0.45,0.05,1.62,general medical care
SANTA BARBARA COTTAGE HOSP,,,,,,general medical care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,general medical care
"SANTA CLARA VALLEY MED CTR, SAN JOSE",0,1768,0.00,0.00,1.69,general medical care
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",9,7419,1.21,0.55,2.30,general medical care
"SCRIPPS GREEN HOSP, LA JOLLA",0,1552,0.00,0.00,1.93,general medical care
SCRIPPS HEALTH,14,7167,1.95,1.07,3.28,general medical care
"SCRIPPS MERCY HOSP, SAN DIEGO",,,,,,general medical care
SCRIPPS MERCY HOSP CHULA VISTA,,,,,,general medical care
"SCRIPPS MEMORIAL HOSP, ENCINITAS",0,1636,0.00,0.00,1.83,general medical care
"SCRIPPS MEMORIAL HOSP, LA JOLLA",9,3962,2.27,1.04,4.31,general medical care
"SENECA HEALTHCARE DISTRICT, CHESTER",0,36,,,,general medical care
SETON MED CTR,0,1392,0.00,0.00,2.15,general medical care
"SETON MED CTR-COASTSIDE, MOSS BEACH",,,,,,general medical care
"SETON MED CTR, DALY CITY",,,,,,general medical care
SHARP CHULA VISTA MED CTR,3,2912,1.03,0.21,3.01,general medical care
"SHARP MEMORIAL HOSP, SAN DIEGO",0,3361,0.00,0.00,0.89,general medical care
"SHASTA REGIONAL MED CTR, REDDING",0,64,0.00,0.00,46.81,general medical care
"SIERRA NEVADA MEMORIAL HOSP, GRASS VALLEY",0,1125,0.00,0.00,2.66,general medical care
"SIERRA VIEW DISTRICT HOSP, PORTERVILLE",1,246,4.07,0.10,22.65,general medical care
SIMI VALLEY HOSP & HEALTH CARE SERVICES,1,1136,0.88,0.02,4.90,general medical care
"SONOMA DEVELOPMENTAL CTR, ELDRIDGE",0,515,0.00,0.00,5.82,general medical care
ST BERNARDINE MED CTR,0,220,0.00,0.00,13.62,general medical care
"ST JOHN'S REGIONAL MED CTR, OXNARD",6,2207,2.72,1.00,5.92,general medical care
"ST JOSEPH HOSP, ORANGE",3,3867,0.78,0.16,2.27,general medical care
ST JOSEPH'S MED CTR OF STOCKTON,0,1593,0.00,0.00,1.88,general medical care
"ST JUDE MED CTR, FULLERTON",0,1045,0.00,0.00,2.87,general medical care
"ST MARY MED CTR, APPLE VALLEY",3,3526,0.85,0.18,2.49,general medical care
"ST MARY MED CTR, LONG BEACH",2,1330,1.50,0.18,5.43,general medical care
"STANFORD HOSP, STANFORD",1,3119,0.32,0.01,1.79,general medical care
"SUTTER COAST HOSP, CRESCENT CITY",1,424,2.36,0.06,13.14,general medical care
"SUTTER DELTA MED CTR, ANTIOCH",2,777,2.57,0.31,9.30,general medical care
SUTTER HEALTH SACRAMENTO SIERRA REGION,0,1753,0.00,0.00,1.71,general medical care
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,general medical care
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,general medical care
"SUTTER MED CTR, CASTRO VALLEY",0,91,0.00,0.00,32.92,general medical care
"EDEN MED CTR, CASTRO VALLEY",,,,,,general medical care
SAN LEANDRO HOSP,,,,,,general medical care
SUTTER MED CTR OF SANTA ROSA,0,1702,0.00,0.00,1.76,general medical care
SUTTER ROSEVILLE MED CTR,0,2568,0.00,0.00,1.17,general medical care
"SUTTER SOLANO MED CTR, VALLEJO",0,628,0.00,0.00,4.77,general medical care
SUTTER TRACY COMMUNITY HOSP,2,1008,1.98,0.24,7.17,general medical care
"TORRANCE MEMORIAL MED CTR, TORRANCE",2,5505,0.36,0.04,1.31,general medical care
"TRI-CITY MED CTR, OCEANSIDE",3,6949,0.43,0.09,1.26,general medical care
"UHS-CORONA, INC.",0,1130,0.00,0.00,2.65,general medical care
"CORONA REGIONAL MED CTR, CAMPUS #1",,,,,,general medical care
"CORONA REGIONAL MED CTR, CAMPUS #2",,,,,,general medical care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",2,2540,0.8,0.10,2.84,general medical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",3,1707,1.8,0.36,5.14,general medical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,general medical care
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,general medical care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",3,4009,0.8,0.15,2.19,general medical care
"UCSF MED CTR, SAN FRANCISCO",,,,,,general medical care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,general medical care
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",2,1573,1.3,0.15,4.59,general medical care
"VICTOR VALLEY COMMUNITY HOSP, VICTORVILLE",0,674,0.0,0.00,4.44,general medical care
"WASHINGTON HOSP, FREMONT",5,3545,1.4,0.46,3.29,general medical care
"WEST ANAHEIM MED CTR, ANAHEIM",0,597,0.0,0.00,5.02,general medical care
WEST HILLS HOSP AND MED CTR,0,229,0.0,0.00,13.08,general medical care
WESTERN MED CTR SANTA ANA,3,1369,2.2,0.45,6.40,general medical care
"WHITE MEMORIAL MED CTR, LOS ANGELES",4,2505,1.6,0.44,4.09,general medical care
WHITTIER HOSP MED CTR,1,676,1.5,0.04,8.24,general medical care
STATE OF CALIFORNIA POOLED DATA,483,593088,0.81,,,general medical/surgical care
ADVENTIST HEALTH SYSTEMS,5,4152,1.20,0.39,2.81,general medical/surgical care
"ADVENTIST MED CTR, HANFORD",,,,,,general medical/surgical care
ADVENTIST MED CTR-SELMA,,,,,,general medical/surgical care
"ADVENTIST MED CTR, REEDLEY",0,8,,,,general medical/surgical care
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",1,1604,0.62,0.02,3.47,general medical/surgical care
ALAMEDA COUNTY MED CTR,5,5971,0.84,0.27,1.95,general medical/surgical care
"ALAMEDA COUNTY MED CTR, OAKLAND",,,,,,general medical/surgical care
"ALAMEDA COUNTY MED CTR-FAIRMONT CAMPUS, SAN LEANDRO",,,,,,general medical/surgical care
ALAMEDA HOSP,0,276,0.00,0.00,10.85,general medical/surgical care
ALHAMBRA HOSP MED CTR,0,209,0.00,0.00,14.33,general medical/surgical care
"ALTA LOS ANGELES HOSPS, INC.",1,1589,0.63,0.02,3.51,general medical/surgical care
LOS ANGELES COMMUNITY HOSP,,,,,,general medical/surgical care
NORWALK COMMUNITY HOSP,,,,,,general medical/surgical care
ANAHEIM GENERAL HOSP,0,258,0.00,0.00,11.61,general medical/surgical care
"ANTELOPE VALLEY HOSP, LANCASTER",6,9728,0.62,0.23,1.34,general medical/surgical care
"ARROWHEAD RGN MED CTR, COLTON",6,4215,1.42,0.52,3.10,general medical/surgical care
BAKERSFIELD MEMORIAL HOSP,4,3522,1.14,0.31,2.91,general medical/surgical care
"BANNER LASSEN MED CTR, SUSANVILLE",0,363,0.00,0.00,8.25,general medical/surgical care
BARSTOW COMMUNITY HOSP,0,160,0.00,0.00,18.72,general medical/surgical care
"BARTON MEMORIAL HOSP, SOUTH LAKE TAHOE",0,234,0.00,0.00,12.80,general medical/surgical care
"BEAR VALLEY COMMUNITY HOSP, BIG BEAR LAKE",0,60,0.00,0.00,49.93,general medical/surgical care
BELLFLOWER MED CTR,0,317,0.00,0.00,9.45,general medical/surgical care
"BEVERLY HOSP, MONTEBELLO",2,2403,0.83,0.10,3.01,general medical/surgical care
"BIGGS GRIDLEY MEMORIAL HOSP, GRIDLEY",0,62,0.00,0.00,48.32,general medical/surgical care
"BROTMAN MED CTR, CULVER CITY",0,1081,0.00,0.00,2.77,general medical/surgical care
"CALIFORNIA HOSP MED CTR, LOS ANGELES",3,3350,0.90,0.18,2.62,general medical/surgical care
"CALIFORNIA MENS COLONY, SAN LUIS OBISPO",5,2001,2.50,0.81,5.83,general medical/surgical care
"CALIFORNIA PACIFIC MED CTR, ST LUKE'S CAMPUS, SAN FRANCISCO",1,1579,0.63,0.02,3.53,general medical/surgical care
"CEDARS-SINAI MED CTR, LOS ANGELES",3,3897,0.77,0.16,2.25,general medical/surgical care
"CENTINELA HOSP MED CTR, INGLEWOOD",0,1943,0.00,0.00,1.54,general medical/surgical care
"CHAPMAN MED CTR, ORANGE",0,232,0.00,0.00,12.91,general medical/surgical care
"CHINESE HOSP, SAN FRANCISCO",0,506,0.00,0.00,5.92,general medical/surgical care
"CHINO VALLEY MED CTR, CHINO",0,284,0.00,0.00,10.55,general medical/surgical care
"CITRUS VALLEY MED CTR, INC.",9,5920,1.52,0.70,2.89,general medical/surgical care
"CITRUS VALLEY MED CTR, IC , COVINA",,,,,,general medical/surgical care
"CITRUS VALLEY MED CTR, QV, WEST COVINA",,,,,,general medical/surgical care
CLOVIS COMMUNITY MED CTR,0,135,0.00,0.00,22.19,general medical/surgical care
COALINGA REGIONAL MED CTR,0,23,,,,general medical/surgical care
"COAST PLAZA HOSP, NORWALK",0,306,0.00,0.00,9.79,general medical/surgical care
COLLEGE HOSP COSTA MESA,0,551,0.00,0.00,5.44,general medical/surgical care
COLUSA REG MED CTR,0,75,0.00,0.00,39.94,general medical/surgical care
COMMUNITY AND MISSION HOSP OF HUNTINGTON PARK,0,108,0.00,0.00,27.74,general medical/surgical care
COMMUNITY HOSP LONG BEACH,1,853,1.17,0.03,6.53,general medical/surgical care
"COMMUNITY HOSP OF THE MONTEREY PENINSULA, MONTEREY",2,4091,0.49,0.06,1.77,general medical/surgical care
COMMUNITY HOSP OF SAN BERNARDINO,1,2175,0.46,0.01,2.56,general medical/surgical care
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",0,3150,0.00,0.00,0.95,general medical/surgical care
"COMMUNITY REGIONAL MED CTR, FRESNO",14,7048,1.99,1.09,3.33,general medical/surgical care
COUNTY OF VENTURA,0,53,0.00,0.00,56.52,general medical/surgical care
VENTURA COUNTY MED CTR,,,,,,general medical/surgical care
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,general medical/surgical care
"DAMERON HOSP, STOCKTON",1,3385,0.30,0.01,1.65,general medical/surgical care
DELANO REGIONAL MED CTR,1,320,3.13,0.08,17.41,general medical/surgical care
"DESERT REGIONAL MED CTR, PALM SPRINGS",2,976,2.05,0.25,7.40,general medical/surgical care
"DESERT VALLEY HOSP, VICTORVILLE",1,1423,0.70,0.02,3.92,general medical/surgical care
