hosp,cases,lineDays,rate,ciLow,ciHigh,adherence,area
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",2,1615,1.24,0.15,4.47,98.1,medical/surgical critical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",14,4857,2.88,1.58,4.84,99.1,medical/surgical critical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,,medical/surgical critical care
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,,medical/surgical critical care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",8,6088,1.31,0.57,2.59,98.6,medical/surgical critical care
"UCSF MED CTR, SAN FRANCISCO",,,,,,,medical/surgical critical care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,,medical/surgical critical care
STATE OF CALIFORNIA POOLED DATA,109,116444,0.94,96.6,,,medical critical care
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",4,2824,1.42,0.39,3.63,98.9,medical critical care
ALAMEDA HOSP,0,448,0.00,0.00,6.69,91.4,medical critical care
"ALVARADO HOSP, LLC",3,1050,2.86,0.59,8.35,99.0,medical critical care
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",,,,,,,medical critical care
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",,,,,,,medical critical care
BELLFLOWER MED CTR,0,269,0.00,0.00,11.14,100,medical critical care
"BROTMAN MED CTR, CULVER CITY",2,1431,1.40,0.17,5.05,100,medical critical care
"CALIFORNIA HOSP MED CTR, LOS ANGELES",4,1887,2.12,0.58,5.43,97.6,medical critical care
"CHINO VALLEY MED CTR, CHINO",0,960,0.00,0.00,3.12,93.1,medical critical care
"CITRUS VALLEY MED CTR, INC.",2,1754,1.14,0.14,4.12,100,medical critical care
"CITRUS VALLEY MED CTR, IC , COVINA",,,,,,,medical critical care
"CITRUS VALLEY MED CTR, QV, WEST COVINA",,,,,,,medical critical care
COMMUNITY HOSP LONG BEACH,0,650,0.00,0.00,4.61,95.5,medical critical care
COMMUNITY HOSP OF SAN BERNARDINO,3,2261,1.33,0.27,3.88,90.4,medical critical care
"DAMERON HOSP, STOCKTON",1,1152,0.87,0.02,4.84,96.6,medical critical care
"DESERT REGIONAL MED CTR, PALM SPRINGS",2,5439,0.37,0.04,1.33,100,medical critical care
"DOCTORS MED CTR, MODESTO",5,2573,1.94,0.63,4.53,96.3,medical critical care
"DOCTORS MED CTR, SAN PABLO",3,1869,1.61,0.33,4.69,88.9,medical critical care
EL CAMINO HOSP,,,,,,,medical critical care
"EL CAMINO HOSP, MOUNTAIN VIEW",0,1068,0.00,0.00,2.80,100,medical critical care
"FEATHER RIVER HOSP, PARADISE",0,1160,0.00,0.00,2.58,100,medical critical care
"GARFIELD MED CTR, MONTEREY PARK",0,839,0.00,0.00,3.57,55.7,medical critical care
GLENDALE ADVENTIST MED CTR,2,1587,1.26,0.15,4.55,93.5,medical critical care
"GOLETA VALLEY COTTAGE HOSP, SANTA BARBARA",0,153,0.00,0.00,19.58,ND,medical critical care
"GOOD SAMARITAN HOSP, LP",4,2995,1.34,0.36,3.42,99.4,medical critical care
"MISSION OAKS HOSP, LOS GATOS",,,,,,,medical critical care
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,,medical critical care
"GROSSMONT HOSP, LA MESA",1,4052,0.25,0.01,1.38,100,medical critical care
"HAZEL HAWKINS MEMORIAL HOSP, HOLLISTER",1,259,3.86,0.10,21.51,100,medical critical care
HEMET VALLEY MED CTR,0,320,0.00,0.00,9.36,100,medical critical care
"HI-DESERT MED CTR, JOSHUA TREE",0,355,0.00,0.00,8.44,100,medical critical care
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",1,2231,0.45,0.01,2.50,98.7,medical critical care
"JOHN MUIR MED CTR, WALNUT CREEK",8,5276,1.52,0.65,2.99,94.2,medical critical care
"KAISER FOUNDATION HOSP, RIVERSIDE",0,3267,0.00,0.00,0.92,98.9,medical critical care
"KAISER FOUNDATION HOSP, SACRAMENTO",0,1830,0.00,0.00,1.64,95.1,medical critical care
KAISER FOUNDATION HOSP-SAN JOSE,0,1177,0.00,0.00,2.55,98.9,medical critical care
KAISER FOUNDATION HOSPS,,,,,,,medical critical care
"KAISER FOUNDATION HOSP, FONTANA",0,529,0.00,0.00,5.66,100,medical critical care
"KAWEAH DELTA MED CTR, VISALIA",2,2019,0.99,0.12,3.58,98.1,medical critical care
LAKEWOOD REGIONAL MED CTR,0,2254,0.00,0.00,1.33,99.5,medical critical care
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",3,1511,1.99,0.41,5.80,#,medical critical care
LOS ROBLES REGIONAL MED CTR,3,1664,1.80,0.37,5.27,97.0,medical critical care
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,,medical critical care
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,,medical critical care
THOUSAND OAKS SURGICAL HOSPITAL,,,,,,,medical critical care
MARINA DEL REY HOSP,2,992,2.02,0.24,7.28,99.5,medical critical care
"MARSHALL MED CTR 1-RH, PLACERVILLE",0,823,0.00,0.00,3.64,100,medical critical care
"MERCY GENERAL HOSP, SACRAMENTO",0,1662,0.00,0.00,1.80,90.5,medical critical care
MERCY MED CTR REDDING,0,469,0.00,0.00,6.39,100,medical critical care
"MERCY SAN JUAN MED CTR, CARMICHAEL",1,2065,0.48,0.01,2.70,100,medical critical care
MISSION HOSP REGIONAL MED CTR,,,,,,,medical critical care
"MISSION HOSP REGIONAL MED CTR, MISSION VIEJO",6,6098,0.98,0.36,2.14,99.8,medical critical care
"OJAI VALLEY COMMUNITY HOSP, OJAI",0,130,0.00,0.00,23.04,85.7,medical critical care
"OLYMPIA MED CTR, LOS ANGELES",0,2892,0.00,0.00,1.04,100,medical critical care
PALOMAR HEALTH,2,2129,0.94,0.11,3.39,100,medical critical care
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",,,,,,,medical critical care
"PALOMAR MED CTR, ESCONDIDO",,,,,,,medical critical care
"PROVIDENCE TARZANA MED CTR, TARZANA",2,1074,1.86,0.23,6.73,100,medical critical care
REGIONAL MED CTR OF SAN JOSE,0,2020,0.00,0.00,1.48,95.7,medical critical care
RIVERSIDE COMMUNITY HOSP,5,3983,1.26,0.41,2.93,99.4,medical critical care
"SAINT AGNES MED CTR, FRESNO",11,4989,2.20,1.10,3.95,95.2,medical critical care
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",5,3764,1.33,0.43,3.10,79.6,medical critical care
"SAN JOAQUIN GENERAL HOSP, FRENCH P",3,2791,1.07,0.22,3.14,95.1,medical critical care
SANTA BARBARA COTTAGE HOSPITAL,1,2067,0.48,0.01,2.70,98.9,medical critical care
SANTA BARBARA COTTAGE HOSP,,,,,,,medical critical care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,,medical critical care
SHARP CORONADO HOSP AND HEALTHCARE CTR,1,350,2.86,0.07,15.92,94.7,medical critical care
"SHARP MEMORIAL HOSP, SAN DIEGO",2,4170,0.48,0.06,1.73,100,medical critical care
"SHASTA REGIONAL MED CTR, REDDING",3,2683,1.12,0.23,3.27,99.2,medical critical care
"ST JOHN'S REGIONAL MED CTR, OXNARD",0,1658,0.0,0.00,1.81,100,medical critical care
"ST JOSEPH HOSP, ORANGE",7,2729,2.6,1.03,5.28,96.9,medical critical care
ST JOSEPH'S MED CTR OF STOCKTON,0,3994,0.0,0.00,0.75,98.1,medical critical care
"ST ROSE HOSP, HAYWARD",2,1791,1.1,0.14,4.03,ND,medical critical care
"TRI-CITY REGIONAL MED CTR, HAWAIIAN GARDENS",0,1088,0.0,0.00,2.75,84.9,medical critical care
WHITTIER HOSP MED CTR,2,920,2.2,0.26,7.85,100,medical critical care
STATE OF CALIFORNIA POOLED DATA,413,461464,0.89,96.5,,,medical/surgical critical care
ADVENTIST HEALTH SYSTEMS,0,1513,0.00,0.00,1.98,94.8,medical/surgical critical care
"ADVENTIST MED CTR, HANFORD",,,,,,,medical/surgical critical care
ADVENTIST MED CTR-SELMA,,,,,,,medical/surgical critical care
ALAMEDA COUNTY MED CTR,1,3840,0.26,0.01,1.45,99.1,medical/surgical critical care
"ALAMEDA COUNTY MED CTR, OAKLAND",,,,,,,medical/surgical critical care
"ALAMEDA COUNTY MED CTR-FAIRMONT CAMPUS, SAN LEANDRO",,,,,,,medical/surgical critical care
ALHAMBRA HOSP MED CTR,0,1121,0.00,0.00,2.67,99.0,medical/surgical critical care
"ALTA LOS ANGELES HOSPS, INC.",1,2100,0.48,0.01,2.65,84.4,medical/surgical critical care
LOS ANGELES COMMUNITY HOSP,,,,,,,medical/surgical critical care
NORWALK COMMUNITY HOSP,,,,,,,medical/surgical critical care
ANAHEIM GENERAL HOSP,0,437,0.00,0.00,6.86,100,medical/surgical critical care
"ANTELOPE VALLEY HOSP, LANCASTER",4,5017,0.80,0.22,2.04,85.7,medical/surgical critical care
BAKERSFIELD HEART HOSP,1,2022,0.49,0.01,2.76,100,medical/surgical critical care
BAKERSFIELD MEMORIAL HOSP,4,3880,1.03,0.28,2.64,100,medical/surgical critical care
BARSTOW COMMUNITY HOSP,0,169,0.00,0.00,17.73,28.6,medical/surgical critical care
"BARTON MEMORIAL HOSP, SOUTH LAKE TAHOE",0,263,0.00,0.00,11.39,94.7,medical/surgical critical care
"BEVERLY HOSP, MONTEBELLO",0,2454,0.00,0.00,1.22,100,medical/surgical critical care
"BIGGS GRIDLEY MEMORIAL HOSP, GRIDLEY",0,41,,,83.3,,medical/surgical critical care
"CALIFORNIA PACIFIC MED CTR, ST LUKE'S CAMPUS, SAN FRANCISCO",1,1230,0.81,0.02,4.53,100,medical/surgical critical care
"CENTINELA HOSP MED CTR, INGLEWOOD",3,5034,0.60,0.12,1.74,99.7,medical/surgical critical care
"CHAPMAN MED CTR, ORANGE",0,313,0.00,0.00,9.57,100,medical/surgical critical care
"CHINESE HOSP, SAN FRANCISCO",1,230,4.35,0.11,24.22,ND,medical/surgical critical care
"CITRUS VALLEY MED CTR, INC.",6,2421,2.48,0.91,5.39,100,medical/surgical critical care
"CITRUS VALLEY MED CTR, IC , COVINA",,,,,,,medical/surgical critical care
"CITRUS VALLEY MED CTR, QV, WEST COVINA",,,,,,,medical/surgical critical care
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",4,4778,0.84,0.23,2.14,99.2,medical/surgical critical care
CLOVIS COMMUNITY MED CTR,3,1705,1.76,0.36,5.14,100,medical/surgical critical care
"COAST PLAZA HOSP, NORWALK",2,1016,1.97,0.24,7.11,97.3,medical/surgical critical care
"COASTAL COMMUNITIES HOSP, SANTA ANA",0,600,0.00,0.00,4.99,79.0,medical/surgical critical care
COLUSA REG MED CTR,0,4,,,100,,medical/surgical critical care
COMMUNITY AND MISSION HOSP OF HUNTINGTON PARK,0,175,0.00,0.00,17.12,96.2,medical/surgical critical care
COMMUNITY HOSP LONG BEACH,0,52,0.00,0.00,57.61,100,medical/surgical critical care
"COMMUNITY HOSP OF THE MONTEREY PENINSULA, MONTEREY",1,3145,0.32,0.01,1.77,98.2,medical/surgical critical care
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",0,2379,0.00,0.00,1.26,97.7,medical/surgical critical care
"CONTRA COSTA REGIONAL MED CTR, MARTINEZ",0,1011,0.00,0.00,2.96,100,medical/surgical critical care
COUNTY OF VENTURA,3,1179,2.54,0.52,7.44,87.5,medical/surgical critical care
VENTURA COUNTY MED CTR,,,,,,,medical/surgical critical care
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,,medical/surgical critical care
"DAMERON HOSP, STOCKTON",0,1557,0.00,0.00,1.92,97.7,medical/surgical critical care
DELANO REGIONAL MED CTR,3,451,6.65,1.37,19.44,93.3,medical/surgical critical care
"DESERT VALLEY HOSP, VICTORVILLE",0,359,0.00,0.00,8.34,100,medical/surgical critical care
DIGNITY HEALTH,2,2678,0.75,0.09,2.70,99.7,medical/surgical critical care
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,,medical/surgical critical care
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,,medical/surgical critical care
DIGNITY HEALTH,2,3477,0.58,0.07,2.08,100,medical/surgical critical care
"MERCY HOSP, BAKERSFIELD",,,,,,,medical/surgical critical care
"MERCY SOUTHWEST HOSP, BAKERSFIELD",,,,,,,medical/surgical critical care
DOCTORS HOSP OF MANTECA,1,714,1.40,0.04,7.80,97.5,medical/surgical critical care
DOWNEY REGIONAL MED CTR,1,1962,0.51,0.01,2.84,100,medical/surgical critical care
"EAST LOS ANGELES DOCTORS HOSP, LOS ANGELES",0,845,0.00,0.00,3.55,100,medical/surgical critical care
"EAST VALLEY HOSP MED CTR, GLENDORA",0,333,0.00,0.00,9.00,100,medical/surgical critical care
"EISENHOWER MED CTR, RANCHO MIRAGE",2,3068,0.65,0.08,2.35,99.4,medical/surgical critical care
EL CAMINO HOSP,,,,,,,medical/surgical critical care
"EL CAMINO HOSP, LOS GATOS",0,683,0.00,0.00,4.39,60.0,medical/surgical critical care
"EL CAMINO HOSP, MOUNTAIN VIEW",0,2707,0.00,0.00,1.11,99.6,medical/surgical critical care
EL CENTRO REGIONAL MED CTR,2,1055,1.90,0.23,6.85,85.2,medical/surgical critical care
"EMANUEL MED CTR INC, TURLOCK",5,1519,3.29,1.07,7.68,98.7,medical/surgical critical care
"ENCINO HOSP MED CTR, ENCINO",0,395,0.00,0.00,7.58,100,medical/surgical critical care
ENLOE MED CTR,0,2876,0.00,0.00,1.04,99.2,medical/surgical critical care
"ENLOE MED CTR-COHASSET, CHICO",,,,,,,medical/surgical critical care
"ENLOE MED CTR-ESPLANADE, CHICO",,,,,,,medical/surgical critical care
"ENLOE REHABILITATION CTR, CHICO",,,,,,,medical/surgical critical care
"FAIRCHILD MED CTR, YREKA",0,173,0.00,0.00,17.32,85.7,medical/surgical critical care
FALLBROOK HOSP DISTRICT,0,134,0.00,0.00,22.36,100,medical/surgical critical care
"FOOTHILL PRESBYTERIAN HSP-JOHNSTON MEMORIAL, GLENDORA",5,1032,4.84,1.57,11.31,86.7,medical/surgical critical care
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,4,5231,0.76,0.21,1.96,98.1,medical/surgical critical care
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,,medical/surgical critical care
"FRANK R. HOWARD MEMORIAL HOSP, WILLITS",0,85,0.00,0.00,35.24,100,medical/surgical critical care
FREMONT-RIDEOUT HEALTH GROUP,3,2466,1.22,0.25,3.56,55.1,medical/surgical critical care
"FREMONT MED CTR, YUBA CITY",,,,,,,medical/surgical critical care
"RIDEOUT MEMORIAL HOSP, MARYSVILLE",,,,,,,medical/surgical critical care
"FRENCH HOSP MED CTR, SAN LUIS OBISPO",0,928,0.00,0.00,3.23,97.3,medical/surgical critical care
FRESNO HEART AND SURGICAL HOSP,0,1098,0.00,0.00,2.73,100,medical/surgical critical care
GARDEN GROVE HOSP AND MED CTR,4,868,4.61,1.26,11.80,95.7,medical/surgical critical care
"GARFIELD MED CTR, MONTEREY PARK",1,1727,0.58,0.01,3.23,56.9,medical/surgical critical care
"GEORGE L. MEE MEMORIAL HOSP, KING CITY",1,335,2.99,0.08,16.63,75.0,medical/surgical critical care
GLENDALE ADVENTIST MED CTR,3,3429,0.87,0.18,2.56,90.4,medical/surgical critical care
GLENDALE MEMORIAL HOSP AND HEALTH CTR,6,3433,1.75,0.64,3.80,97.3,medical/surgical critical care
"GOOD SAMARITAN HOSP, LOS ANGELES",2,3040,0.66,0.08,2.38,99.5,medical/surgical critical care
"GOOD SAMARITAN HOSP, LP",4,3492,1.15,0.31,2.93,98.5,medical/surgical critical care
"MISSION OAKS HOSP, LOS GATOS",,,,,,,medical/surgical critical care
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,,medical/surgical critical care
"GREATER EL MONTE COMMUNITY HOSP, SOUTH EL MONTE",1,729,1.37,0.03,7.64,92.6,medical/surgical critical care
HEALDSBURG DISTRICT HOSP,0,145,0.00,0.00,20.66,100,medical/surgical critical care
HEMET VALLEY MED CTR,9,2314,3.89,1.78,7.38,97.6,medical/surgical critical care
"HENRY MAYO NEWHALL MEMORIAL HOSP, VALENCIA",3,2800,1.07,0.22,3.13,98.4,medical/surgical critical care
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",2,4995,0.40,0.05,1.45,99.5,medical/surgical critical care
"HOAG HOSPITAL, IRVINE",,,,,,,medical/surgical critical care
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",,,,,,,medical/surgical critical care
HOLLYWOOD COMMUNITY HOSP OF HOLLYWOOD,2,776,2.58,0.31,9.31,77.5,medical/surgical critical care
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",1,735,1.36,0.03,7.58,98.6,medical/surgical critical care
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,3,2891,1.04,0.21,3.03,99.1,medical/surgical critical care
"VALLEYCARE MEDICAL CENTER, PLEASANTON",,,,,,,medical/surgical critical care
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",,,,,,,medical/surgical critical care
HUNTINGTON BEACH HOSP,3,1010,2.97,0.61,8.68,96.8,medical/surgical critical care
"HUNTINGTON MEMORIAL HOSP, PASADENA",1,4911,0.20,0.01,1.13,95.4,medical/surgical critical care
"JOHN F. KENNEDY MEMORIAL HOSP, INDIO",4,1971,2.03,0.55,5.20,84.2,medical/surgical critical care
"JOHN MUIR MED CTR, CONCORD",3,1973,1.52,0.31,4.44,96.6,medical/surgical critical care
"KAISER FOUNDATION HOSP, ANTIOCH",0,728,0.00,0.00,4.12,87.6,medical/surgical critical care
"KAISER FOUNDATION HOSP, BALDWIN PARK",3,1870,1.60,0.33,4.69,93.8,medical/surgical critical care
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",0,1490,0.00,0.00,2.01,91.8,medical/surgical critical care
"KAISER FOUNDATION HOSP, FRESNO",0,1786,0.00,0.00,1.68,100,medical/surgical critical care
"KAISER FOUNDATION HOSP, MORENO VALLEY",0,740,0.00,0.00,4.05,96.4,medical/surgical critical care
"KAISER FOUNDATION HOSP, PANORAMA CITY",2,1960,1.02,0.12,3.69,100,medical/surgical critical care
"KAISER FOUNDATION HOSP, REDWOOD CITY",2,1400,1.43,0.17,5.16,93.2,medical/surgical critical care
"KAISER FOUNDATION HOSP, ROSEVILLE",1,2807,0.36,0.01,1.98,89.6,medical/surgical critical care
"KAISER FOUNDATION HOSP, SAN FRANCISCO",2,1522,1.31,0.16,4.75,100,medical/surgical critical care
KAISER FOUNDATION HOSP-SAN JOSE,0,538,0.00,0.00,5.57,100,medical/surgical critical care
"KAISER FOUNDATION HOSP, SAN RAFAEL",2,1451,1.38,0.17,4.98,88.3,medical/surgical critical care
KAISER FOUNDATION HOSP-SANTA CLARA,1,3850,0.26,0.01,1.45,96.8,medical/surgical critical care
"KAISER FOUNDATION HOSP, SANTA ROSA",0,1112,0.00,0.00,2.69,99.5,medical/surgical critical care
"KAISER FOUNDATION HOSP SOUTH BAY, HARBOR CITY",2,1618,1.24,0.15,4.47,94.8,medical/surgical critical care
KAISER FOUNDATION HOSP-SOUTH SACRAMENTO,0,2997,0.00,0.00,1.00,98.8,medical/surgical critical care
"KAISER FOUNDATION HOSP, SOUTH SAN FRANCISCO",0,992,0.00,0.00,3.02,90.2,medical/surgical critical care
"KAISER FOUNDATION HOSP, VACAVILLE",1,664,1.51,0.04,8.39,92.0,medical/surgical critical care
"KAISER FOUNDATION HOSP & REHAB. CTR, VALLEJO",2,1573,1.27,0.15,4.59,94.9,medical/surgical critical care
KAISER FOUNDATION HOSP-WALNUT CREEK,1,3394,0.29,0.01,1.64,98.6,medical/surgical critical care
"KAISER FOUNDATION HOSP-WEST LA, LOS ANGELES",1,2470,0.40,0.01,2.26,74.5,medical/surgical critical care
"KAISER FOUNDATION HOSP, WOODLAND HILLS",0,1178,0.00,0.00,2.54,75.9,medical/surgical critical care
KAISER FOUNDATION HOSPS,1,2112,0.47,0.01,2.64,88.0,medical/surgical critical care
KAISER FOUNDATION HOSP-ANAHEIM MEDICAL CENTER,,,,,,,medical/surgical critical care
KAISER FOUNDATION HOSP-LAKEVIEW MEDICAL CENTER,,,,,,,medical/surgical critical care
KAISER FOUNDATION HOSPS,,,,,,,medical/surgical critical care
"KAISER FOUNDATION HOSP, IRVINE",2,1594,1.25,0.15,4.53,88.4,medical/surgical critical care
"KAISER FOUNDATION HOSP, FONTANA",0,4531,0.00,0.00,0.66,86.0,medical/surgical critical care
"KAISER FOUNDATION HOSP, ONTARIO",0,2182,0.00,0.00,1.37,97.0,medical/surgical critical care
KAISER FOUNDATION HOSPS,0,2758,0.00,0.00,1.09,99.6,medical/surgical critical care
"KAISER FOUNDATION HOSP, FREMONT",,,,,,,medical/surgical critical care
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",,,,,,,medical/surgical critical care
KAISER FOUNDATION HOSPS,1,2147,0.47,0.01,2.60,98.1,medical/surgical critical care
"KAISER FOUNDATION HOSP, MODESTO",,,,,,,medical/surgical critical care
"KAISER FOUNDATION HOSP, MANTECA",,,,,,,medical/surgical critical care
KAISER FOUNDATION HOSPS,3,3133,0.96,0.20,2.80,100,medical/surgical critical care
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,,medical/surgical critical care
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,,medical/surgical critical care
"KAWEAH DELTA MED CTR, VISALIA",1,2465,0.41,0.01,2.26,98.5,medical/surgical critical care
"KERN MED CTR, BAKERSFIELD",3,2111,1.42,0.29,4.15,85.9,medical/surgical critical care
LA PALMA INTERCOMMUNITY HOSP,1,694,1.44,0.04,8.03,100,medical/surgical critical care
"LAC/RANCHO LOS AMIGOS NATIONAL REHAB CTR, DOWNEY",1,595,1.68,0.04,9.36,100,medical/surgical critical care
LAKEWOOD REGIONAL MED CTR,0,1274,0.00,0.00,2.35,100,medical/surgical critical care
"LODI MEMORIAL HOSP ASSOCIATION, INC.",1,5602,0.18,0.00,0.99,98.7,medical/surgical critical care
LODI MEMORIAL HOSP 1RH,,,,,,,medical/surgical critical care
LODI MEMORIAL HOSP-WEST,,,,,,,medical/surgical critical care
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,2,953,2.10,0.25,7.58,ND,medical/surgical critical care
LOMPOC VALLEY MED CTR,0,343,0.00,0.00,8.73,87.5,medical/surgical critical care
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",3,5335,0.56,0.12,1.64,#,medical/surgical critical care
LOS ALAMITOS MED CTR,1,2363,0.42,0.01,2.36,100,medical/surgical critical care
LOS ANGELES METROPOLITAN MED CTR,11,762,14.44,7.21,25.83,97.8,medical/surgical critical care
"MAD RIVER COMMUNITY HOSP, ARCATA",0,325,0.00,0.00,9.22,100,medical/surgical critical care
MADERA COMMUNITY HOSP,0,451,0.00,0.00,6.64,76.5,medical/surgical critical care
MAMMOTH HOSP,0,3,,,100,,medical/surgical critical care
MARIAN REGIONAL MEDICAL CENTER,,,,,,,medical/surgical critical care
MARIAN REGIONAL MEDICAL CENTER,1,1536,0.65,0.02,3.63,97.1,medical/surgical critical care
"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",1,375,2.67,0.07,14.86,90.0,medical/surgical critical care
"MARIN GENERAL HOSP, GREENBRAE",5,2434,2.05,0.67,4.79,100,medical/surgical critical care
"MARK TWAIN MEDICAL CENTER, SAN ANDREAS",0,421,0.00,0.00,7.12,94.8,medical/surgical critical care
MEMORIAL HOSP LOS BANOS,0,34,,,75.0,,medical/surgical critical care
